municipality_code,district_code,state_code,name,area_km2,population,longitude,latitude,settlement_type
01001000,01001,01,"Flensburg, Stadt",56.73,96326,9.43751,54.78252,dicht besiedelt
01002000,01002,01,"Kiel, Landeshauptstadt",118.65,252668,10.13727,54.321775,dicht besiedelt
01003000,01003,01,"Lübeck, Hansestadt",214.19,216889,10.683932,53.866269,dicht besiedelt
01004000,01004,01,"Neumünster, Stadt",71.66,79809,9.988422,54.069895,dicht besiedelt
01051011,01051,01,"Brunsbüttel, Stadt",65.21,12692,9.13735,53.896932,mittlere Besiedlungsdichte
01051044,01051,01,"Heide, Stadt",31.97,22002,9.091156,54.193962,mittlere Besiedlungsdichte
01051003,01051,01,Averlak,9.06,608,9.182663,53.941154,gering besiedelt
01051010,01051,01,Brickeln,6.07,186,9.221166,54.00849,gering besiedelt
01051012,01051,01,Buchholz,14.56,992,9.223774,53.987132,gering besiedelt
01051016,01051,01,Burg (Dithmarschen),11.25,4070,9.26246,53.99748,gering besiedelt
01051022,01051,01,Dingen,7.01,652,9.125804,53.960888,gering besiedelt
01051024,01051,01,Eddelak,9.21,1355,9.137433,53.945888,gering besiedelt
01051026,01051,01,Eggstedt,12.79,744,9.25927,54.054535,gering besiedelt
01051032,01051,01,Frestedt,10.33,344,9.176133,54.023523,gering besiedelt
01051037,01051,01,Großenrade,10.4,468,9.223435,54.02206,gering besiedelt
01051051,01051,01,Hochdonn,5.46,1083,9.293145,54.019564,gering besiedelt
01051064,01051,01,Kuden,11.37,665,9.192822,53.967853,gering besiedelt
01051089,01051,01,Quickborn,6.95,185,9.206618,54.009984,gering besiedelt
01051097,01051,01,Sankt Michaelisdonn,23.06,3487,9.121257,53.994807,gering besiedelt
01051110,01051,01,Süderhastedt,15.74,791,9.20886,54.04991,gering besiedelt
01051021,01051,01,Diekhusen-Fahrstedt,7.46,667,9.023165,53.946249,mittlere Besiedlungsdichte
01051034,01051,01,Friedrichskoog,53.27,2456,8.88014,54.005842,gering besiedelt
01051046,01051,01,Helse,11.44,832,9.010226,53.977556,gering besiedelt
01051057,01051,01,Kaiser-Wilhelm-Koog,13.05,327,8.926364,53.942933,gering besiedelt
01051062,01051,01,Kronprinzenkoog,28.84,844,8.964528,53.97171,gering besiedelt
01051072,01051,01,"Marne, Stadt",4.83,5586,9.008761,53.953695,mittlere Besiedlungsdichte
01051073,01051,01,Marnerdeich,1.31,386,8.982956,53.948483,mittlere Besiedlungsdichte
01051076,01051,01,Neufeld,10.4,581,9.017576,53.907495,gering besiedelt
01051077,01051,01,Neufelderkoog,9.77,101,8.968827,53.906958,gering besiedelt
01051090,01051,01,Ramhusen,4.8,169,9.090658,53.941207,gering besiedelt
01051103,01051,01,Schmedeswurth,5.91,182,9.040335,53.926172,gering besiedelt
01051118,01051,01,Trennewurth,7.79,234,9.025792,54.000236,gering besiedelt
01051119,01051,01,Volsemenhusen,16.78,337,9.065625,53.967901,gering besiedelt
01051005,01051,01,Barkenholm,5.11,169,9.174339,54.237387,gering besiedelt
01051008,01051,01,Bergewöhrden,2.64,37,9.209426,54.318469,gering besiedelt
01051019,01051,01,Dellstedt,21.77,730,9.369143,54.237892,gering besiedelt
01051020,01051,01,Delve,15.84,779,9.252365,54.303978,gering besiedelt
01051023,01051,01,Dörpling,7.82,641,9.301925,54.260654,gering besiedelt
01051030,01051,01,Fedderingen,9.69,272,9.132642,54.281144,gering besiedelt
01051035,01051,01,Gaushorn,6.45,185,9.225318,54.194896,gering besiedelt
01051036,01051,01,Glüsing,4.69,110,9.216421,54.274547,gering besiedelt
01051038,01051,01,Groven,7.9,99,8.989147,54.300165,gering besiedelt
01051047,01051,01,Hemme,16.53,521,9.010966,54.28021,gering besiedelt
01051049,01051,01,Hennstedt,21.93,2028,9.168248,54.283636,gering besiedelt
01051052,01051,01,Hövede,2.94,51,9.293409,54.243806,gering besiedelt
01051053,01051,01,Hollingstedt,9.74,320,9.226797,54.290548,gering besiedelt
01051058,01051,01,Karolinenkoog,17.55,146,8.965495,54.292554,gering besiedelt
01051060,01051,01,Kleve,12.81,405,9.123229,54.295706,gering besiedelt
01051061,01051,01,Krempel,4.82,607,9.027607,54.320019,gering besiedelt
01051065,01051,01,Lehe,18.63,1079,9.025334,54.344168,gering besiedelt
01051068,01051,01,Linden,11.62,873,9.182428,54.252623,gering besiedelt
01051071,01051,01,Lunden,4.65,1741,9.024249,54.330568,gering besiedelt
01051080,01051,01,Norderheistedt,4.33,122,9.146139,54.245331,gering besiedelt
01051088,01051,01,Pahlen,10.8,1145,9.296387,54.267813,gering besiedelt
01051092,01051,01,Rehm-Flehde-Bargen,14.63,551,9.036287,54.303981,gering besiedelt
01051096,01051,01,Sankt Annen,14.89,320,9.07975,54.345413,gering besiedelt
01051100,01051,01,Schalkholz,12.52,567,9.257028,54.246244,gering besiedelt
01051102,01051,01,Schlichting,12.5,245,9.089378,54.31014,gering besiedelt
01051114,01051,01,Tellingstedt,21.1,2742,9.2822,54.219944,gering besiedelt
01051117,01051,01,Tielenhemme,12.68,153,9.398414,54.27746,gering besiedelt
01051120,01051,01,Wallen,1.86,28,9.269563,54.284766,gering besiedelt
01051125,01051,01,Welmbüttel,7.6,409,9.246826,54.196873,gering besiedelt
01051131,01051,01,Westerborstel,4.14,107,9.260601,54.220127,gering besiedelt
01051133,01051,01,Wiemerstedt,5.08,158,9.11111,54.269259,gering besiedelt
01051136,01051,01,Wrohm,11.45,743,9.379505,54.212642,gering besiedelt
01051139,01051,01,Süderdorf,16.21,371,9.343678,54.220732,gering besiedelt
01051141,01051,01,Süderheistedt,8.44,544,9.148463,54.23483,gering besiedelt
01051048,01051,01,Hemmingstedt,16.01,2860,9.072111,54.147509,gering besiedelt
01051067,01051,01,Lieth,4.66,381,9.060773,54.15531,gering besiedelt
01051069,01051,01,Lohe-Rickelshof,5.39,2023,9.065603,54.187725,mittlere Besiedlungsdichte
01051075,01051,01,Neuenkirchen,25.14,937,8.987884,54.235602,gering besiedelt
01051081,01051,01,Norderwöhrden,18.47,248,9.000232,54.192783,gering besiedelt
01051082,01051,01,Nordhastedt,26.56,2767,9.182991,54.17205,gering besiedelt
01051087,01051,01,Ostrohe,6.66,861,9.130804,54.214,gering besiedelt
01051107,01051,01,Stelle-Wittenwurth,10.71,484,9.066849,54.254357,gering besiedelt
01051113,01051,01,Wöhrden,21.77,1203,8.994508,54.165463,gering besiedelt
01051122,01051,01,Weddingstedt,17.89,2357,9.088863,54.239275,gering besiedelt
01051130,01051,01,Wesseln,3.76,1370,9.075443,54.208327,mittlere Besiedlungsdichte
01051001,01051,01,Albersdorf,17.12,3742,9.283995,54.146557,gering besiedelt
01051002,01051,01,Arkebek,6.92,225,9.250362,54.160197,gering besiedelt
01051004,01051,01,Bargenstedt,11.9,956,9.144199,54.095594,gering besiedelt
01051006,01051,01,Barlt,22.88,726,9.058002,54.012444,gering besiedelt
01051015,01051,01,Bunsoh,11.75,761,9.320225,54.165522,gering besiedelt
01051017,01051,01,Busenwurth,10.09,324,9.041298,54.041407,gering besiedelt
01051027,01051,01,Elpersbüttel,30.17,874,9.047156,54.072963,gering besiedelt
01051028,01051,01,Epenwöhrden,13.52,754,9.052894,54.112805,gering besiedelt
01051039,01051,01,Gudendorf,6.04,424,9.1082,54.024736,gering besiedelt
01051054,01051,01,Immenstedt,3.09,111,9.299737,54.180686,gering besiedelt
01051063,01051,01,Krumstedt,15.89,538,9.177954,54.068684,gering besiedelt
01051074,01051,01,"Meldorf, Stadt",21.26,7166,9.068784,54.090945,mittlere Besiedlungsdichte
01051078,01051,01,Nindorf,8.75,1145,9.114943,54.086722,gering besiedelt
01051083,01051,01,Odderade,11.27,332,9.190795,54.139384,gering besiedelt
01051085,01051,01,Offenbüttel,13.95,254,9.357994,54.169186,gering besiedelt
01051086,01051,01,Osterrade,17.09,403,9.353264,54.190212,gering besiedelt
01051098,01051,01,Sarzbüttel,13.39,703,9.184027,54.118843,gering besiedelt
01051099,01051,01,Schafstedt,18.16,1290,9.293675,54.079915,gering besiedelt
01051104,01051,01,Schrum,5.01,77,9.251667,54.187229,gering besiedelt
01051126,01051,01,Wennbüttel,4.59,94,9.325945,54.139359,gering besiedelt
01051134,01051,01,Windbergen,17.31,768,9.117779,54.044978,gering besiedelt
01051135,01051,01,Wolmersdorf,6.11,323,9.103978,54.077114,gering besiedelt
01051137,01051,01,Nordermeldorf,34.1,596,9.013736,54.112068,gering besiedelt
01051138,01051,01,Tensbüttel-Röst,19.36,651,9.228605,54.105741,gering besiedelt
01051013,01051,01,Büsum,8.48,5105,8.859577,54.130341,gering besiedelt
01051014,01051,01,Büsumer Deichhausen,2.87,357,8.890088,54.136175,gering besiedelt
01051033,01051,01,Friedrichsgabekoog,8.62,55,8.941082,54.157516,gering besiedelt
01051043,01051,01,Hedwigenkoog,16.36,209,8.840953,54.177985,gering besiedelt
01051045,01051,01,Hellschen-Heringsand-Unterschaar,7.02,159,8.872882,54.194536,gering besiedelt
01051050,01051,01,Hillgroven,3.6,54,8.874901,54.227921,gering besiedelt
01051079,01051,01,Norddeich,6.9,417,8.899964,54.218049,gering besiedelt
